province,median_income_2025_01,median_income_2025_02,median_income_2025_03,median_income_2025_04,median_income_2025_05,median_income_2025_06,median_income_2025_07,median_income_2025_08,median_income_2025_09,median_income_2025_10,median_income_2025_11,median_income_2025_12
Azuay,480,470,474,470,440,470,480,470,478,472,500,470
Bolivar,336,360,480,280,320,320,310,320,280,400,310,365
Canar,301,400,327,400,279,400,470,350,382,340,470,353
Carchi,100,340,400,400,300,280,325,340,350,310,300,340
Chimborazo,320,415,300,260,391,280,300,248,300,275,250,400
Cotopaxi,420,300,280,420,300,280,500,320,320,350,400,320
El Oro,460,400,470,460,430,475,470,400,472,460,470,460
Esmeraldas,250,350,300,280,300,350,330,300,252,270,250,300
Galapagos,1600,900,1000,1500,800,935,900,985,1058,1000,1135,1025
Guayas,410,405,400,420,400,450,410,440,470,410,470,440
Imbabura,340,350,350,400,330,350,300,315,400,390,280,400
Loja,325,400,300,250,272,290,400,290,310,400,380,350
Los Rios,400,360,300,340,320,320,460,280,300,415,370,470
Manabi,270,360,365,330,330,320,250,325,360,315,338,310
Morona Santiago,253,104,332,180,260,200,300,280,210,170,150,172
Napo,196,180,254,144,248,185,250,156,205,125,210,186
Orellana,140,430,230,300,360,340,518,260,221,285,300,261
Pastaza,234,175,260,170,320,280,240,253,235,183,150,294
Pichincha,550,500,500,500,530,513,500,515,523,488,500,500
Santa Elena,300,310,360,250,392,368,280,396,300,400,380,300
Santo Domingo de los Tsachilas,400,400,460,400,400,390,450,460,420,420,473,500
Sucumbios,242,300,564,410,250,340,470,270,400,300,180,300
Tungurahua,400,350,325,310,300,400,370,340,400,316,450,400
Zamora Chinchipe,460,400,250,400,410,460,400,480,420,520,285,300
