province,month,median_income,n_obs,weighted_n
Azuay,01,480,1132,297487.6411826715
Bolivar,01,336,188,39101.48695485452
Canar,01,301,225,85843.21634728494
Carchi,01,100,280,140646.31381828708
Cotopaxi,01,420,237,192947.00134080873
Chimborazo,01,320,218,203867.21761074287
El Oro,01,460,1307,286333.65334289364
Esmeraldas,01,250,603,345868.7229697009
Guayas,01,410,1517,1808972.6096426009
Imbabura,01,340,546,155118.94213628053
Loja,01,325,359,190117.85893739213
Los Rios,01,400,213,322348.3839009692
Manabi,01,270,226,396487.805168278
Morona Santiago,01,253,133,101809.55258112411
Napo,01,196,200,200170.32587523272
Pastaza,01,234,220,65446.498818025706
Pichincha,01,550,1770,992598.4707166321
Tungurahua,01,400,1040,166446.91035195772
Zamora Chinchipe,01,460,204,47662.94688595377
Galapagos,01,1600,139,13172.210798327402
Sucumbios,01,242,306,90961.84508904871
Orellana,01,140,239,207706.05260144218
Santo Domingo de los Tsachilas,01,400,228,244734.00428671503
Santa Elena,01,300,400,192619.00302220834
Azuay,02,470,1122,296033.1792553293
Bolivar,02,360,163,44806.21221173531
Canar,02,400,218,94887.71684942662
Carchi,02,340,280,61638.682761829994
Cotopaxi,02,300,242,222236.4775039911
Chimborazo,02,415,219,122241.82508973998
El Oro,02,400,1353,317928.805685098
Esmeraldas,02,350,581,230619.17122164665
Guayas,02,405,1511,1944464.4978278347
Imbabura,02,350,574,140903.00924329297
Loja,02,400,348,114774.30541179936
Los Rios,02,360,228,377744.1863166187
Manabi,02,360,252,438359.13549676305
Morona Santiago,02,104,133,113394.83679891315
Napo,02,180,202,141402.7983758078
Pastaza,02,175,231,161680.1588112431
Pichincha,02,500,1764,1432872.827433436
Tungurahua,02,350,1024,145660.66900707482
Zamora Chinchipe,02,400,232,87299.6529894375
Galapagos,02,900,122,9934.864144375042
Sucumbios,02,300,310,110229.49790706269
Orellana,02,430,232,102558.46382924917
Santo Domingo de los Tsachilas,02,400,234,159791.11298267855
Santa Elena,02,310,421,217206.73456880788
Azuay,03,474,1140,274945.24974290346
Bolivar,03,480,174,58673.06371366137
Canar,03,327,214,116428.62164827067
Carchi,03,400,237,50417.99849469673
Cotopaxi,03,280,238,179867.14913198753
Chimborazo,03,300,218,147441.29818273504
El Oro,03,470,1232,267559.1931899849
Esmeraldas,03,300,625,283483.2921868473
Guayas,03,400,1495,2104428.371826094
Imbabura,03,350,572,189861.52517588987
Loja,03,300,354,103702.10758398748
Los Rios,03,300,180,323390.89553079405
Manabi,03,365,244,420267.76011268375
Morona Santiago,03,332,157,123100.05540898771
Napo,03,254,206,139199.90254405435
Pastaza,03,260,252,184077.17510943138
Pichincha,03,500,1719,897516.502311392
Tungurahua,03,325,1010,207766.4159677434
Zamora Chinchipe,03,250,244,171321.86573488478
Galapagos,03,1000,133,11239.111082878553
Sucumbios,03,564,260,102743.1871264866
Orellana,03,230,253,345893.91486165713
Santo Domingo de los Tsachilas,03,460,248,194589.23629522245
Santa Elena,03,360,456,192725.28367351054
Azuay,04,470,1130,276105.9819881075
Bolivar,04,280,183,52953.66582133767
Canar,04,400,215,89936.04234839395
Carchi,04,400,245,74573.83536243107
Cotopaxi,04,420,235,197819.63582129992
Chimborazo,04,260,231,240979.29804849703
El Oro,04,460,1319,312584.25191526965
Esmeraldas,04,280,597,273578.93773314205
Guayas,04,420,1562,1990682.727078235
Imbabura,04,400,588,174091.62220703953
Loja,04,250,403,188098.4903156883
Los Rios,04,340,219,374661.27760815364
Manabi,04,330,226,423813.16679760383
Morona Santiago,04,180,132,91236.70015325524
Napo,04,144,213,125096.81068096524
Pastaza,04,170,211,180441.69640494458
Pichincha,04,500,1793,1135708.4782115025
Tungurahua,04,310,1053,266303.87286872434
Zamora Chinchipe,04,400,221,63411.85306194445
Galapagos,04,1500,133,11001.903889633426
Sucumbios,04,410,292,84937.049819207
Orellana,04,300,241,112441.68704859738
Santo Domingo de los Tsachilas,04,400,239,306651.9335416405
Santa Elena,04,250,392,160302.36938032258
Azuay,05,440,1081,289566.4677323816
Bolivar,05,320,184,47865.33716368602
Canar,05,279,221,180421.79220913388
Carchi,05,300,255,40607.56867850678
Cotopaxi,05,300,206,156842.2690840128
Chimborazo,05,391,225,139222.63682284937
El Oro,05,430,1288,336785.28688862035
Esmeraldas,05,300,622,236079.6303074587
Guayas,05,400,1543,2091418.5347273296
Imbabura,05,330,561,139548.75651645663
Loja,05,272,344,148685.22690389995
Los Rios,05,320,212,403184.6055418566
Manabi,05,330,256,494016.75643907493
Morona Santiago,05,260,153,153477.77318251383
Napo,05,248,186,136011.43906542225
Pastaza,05,320,249,107105.6835285316
Pichincha,05,530,1734,1199420.1912631213
Tungurahua,05,300,1052,190974.17842988603
